Country,Doctors_Per_10k,Births_Attended_By_Skilled_Personnel,Maternal_Mortality_Rate
Afghanistan,2.54,14.30,1196.09
Afghanistan,2.54,34.30,1359.22
Afghanistan,2.54,34.30,1459.28
Afghanistan,2.54,38.60,1459.28
Afghanistan,2.54,39.90,1459.28
Afghanistan,2.54,45.20,1459.28
Afghanistan,2.54,50.50,1459.28
Afghanistan,2.54,53.40,1459.28
Afghanistan,2.54,58.80,1459.28
Afghanistan,2.54,61.80,1459.28
Afghanistan,2.54,67.50,1459.28
Afghanistan,2.54,14.30,1459.28
Afghanistan,2.54,14.30,1359.22
Afghanistan,2.54,38.60,1359.22
Afghanistan,2.54,39.90,1359.22
Afghanistan,2.54,45.20,1359.22
Afghanistan,2.54,50.50,1359.22
Afghanistan,2.54,53.40,1359.22
Afghanistan,2.54,58.80,1359.22
Afghanistan,2.54,61.80,1359.22
Afghanistan,2.54,67.50,1359.22
Afghanistan,2.54,14.30,1277.31
Afghanistan,2.54,34.30,1277.31
Afghanistan,2.54,38.60,1277.31
Afghanistan,2.54,39.90,1277.31
Afghanistan,2.54,45.20,1277.31
Afghanistan,2.54,50.50,1277.31
Afghanistan,2.54,53.40,1277.31
Afghanistan,2.54,58.80,1277.31
Afghanistan,2.54,61.80,1277.31
Afghanistan,2.54,67.50,1277.31
Afghanistan,2.54,34.30,1273.43
Afghanistan,2.54,38.60,1273.43
Afghanistan,2.54,39.90,1273.43
Afghanistan,2.54,45.20,1273.43
Afghanistan,2.54,50.50,1273.43
Afghanistan,2.54,53.40,1273.43
Afghanistan,2.54,58.80,1273.43
Afghanistan,2.54,61.80,1273.43
Afghanistan,2.54,67.50,1273.43
Afghanistan,2.54,14.30,1273.43
Afghanistan,2.54,14.30,1023.50
Afghanistan,2.54,34.30,1023.50
Afghanistan,2.54,38.60,1023.50
Afghanistan,2.54,39.90,1023.50
Afghanistan,2.54,45.20,1023.50
Afghanistan,2.54,50.50,1023.50
Afghanistan,2.54,53.40,1023.50
Afghanistan,2.54,58.80,1023.50
Afghanistan,2.54,61.80,1023.50
Afghanistan,2.54,67.50,1023.50
Afghanistan,2.54,14.30,1346.14
Afghanistan,2.54,34.30,1346.14
Afghanistan,2.54,38.60,1346.14
Afghanistan,2.54,39.90,1346.14
Afghanistan,2.54,45.20,1346.14
Afghanistan,2.54,50.50,1346.14
Afghanistan,2.54,53.40,1346.14
Afghanistan,2.54,58.80,1346.14
Afghanistan,2.54,61.80,1346.14
Afghanistan,2.54,67.50,1346.14
Afghanistan,2.54,14.30,1102.81
Afghanistan,2.54,34.30,1102.81
Afghanistan,2.54,38.60,1102.81
Afghanistan,2.54,39.90,1102.81
Afghanistan,2.54,45.20,1102.81
Afghanistan,2.54,50.50,1102.81
Afghanistan,2.54,53.40,1102.81
Afghanistan,2.54,58.80,1102.81
Afghanistan,2.54,61.80,1102.81
Afghanistan,2.54,67.50,1102.81
Afghanistan,2.54,67.50,1044.40
Afghanistan,2.54,61.80,1044.40
Afghanistan,2.54,58.80,1044.40
Afghanistan,2.54,53.40,1044.40
Afghanistan,2.54,50.50,1044.40
Afghanistan,2.54,45.20,1044.40
Afghanistan,2.54,39.90,1044.40
Afghanistan,2.54,38.60,1044.40
Afghanistan,2.54,34.30,1044.40
Afghanistan,2.54,14.30,1044.40
Albania,18.83,99.10,10.77
Albania,18.83,100.00,10.83
Albania,18.83,100.00,10.83
Albania,18.83,100.00,10.83
Albania,18.83,99.80,10.83
Albania,18.83,99.30,10.83
Albania,18.83,99.80,10.83
Albania,18.83,98.00,10.83
Albania,18.83,99.10,10.83
Albania,18.83,98.00,10.77
Albania,18.83,99.80,10.77
Albania,18.83,99.30,10.77
Albania,18.83,99.80,10.77
Albania,18.83,100.00,10.77
Albania,18.83,100.00,10.77
Albania,18.83,100.00,10.77
Albania,18.83,100.00,14.89
Albania,18.83,100.00,14.89
Albania,18.83,100.00,14.89
Albania,18.83,99.80,14.89
Albania,18.83,99.30,14.89
Albania,18.83,99.80,14.89
Albania,18.83,98.00,14.89
Albania,18.83,99.10,14.89
Albania,18.83,99.10,15.52
Albania,18.83,98.00,15.52
Albania,18.83,99.80,15.52
Albania,18.83,99.30,15.52
Albania,18.83,99.80,15.52
Albania,18.83,100.00,15.52
Albania,18.83,100.00,15.52
Albania,18.83,100.00,15.52
Albania,18.83,100.00,9.74
Albania,18.83,100.00,9.74
Albania,18.83,100.00,9.74
Albania,18.83,99.80,9.74
Albania,18.83,99.30,9.74
Albania,18.83,99.80,9.74
Albania,18.83,98.00,9.74
Albania,18.83,99.10,9.74
Albania,18.83,99.10,9.10
Albania,18.83,98.00,9.10
Albania,18.83,99.80,9.10
Albania,18.83,99.30,9.10
Albania,18.83,99.80,9.10
Albania,18.83,100.00,9.10
Albania,18.83,100.00,9.10
Albania,18.83,100.00,9.10
Albania,18.83,98.00,12.12
Albania,18.83,100.00,12.12
Albania,18.83,100.00,12.12
Albania,18.83,100.00,12.12
Albania,18.83,99.80,12.12
Albania,18.83,99.30,12.12
Albania,18.83,99.80,12.12
Albania,18.83,99.10,12.12
Albania,18.83,100.00,10.63
Albania,18.83,100.00,10.63
Albania,18.83,100.00,10.63
Albania,18.83,99.80,10.63
Albania,18.83,99.30,10.63
Albania,18.83,99.80,10.63
Albania,18.83,98.00,10.63
Albania,18.83,99.10,10.63
Albania,18.83,99.10,14.33
Albania,18.83,98.00,14.33
Albania,18.83,99.80,14.33
Albania,18.83,99.30,14.33
Albania,18.83,99.80,14.33
Albania,18.83,100.00,14.33
Albania,18.83,100.00,14.33
Albania,18.83,100.00,14.33
Albania,18.83,99.10,12.41
Albania,18.83,98.00,12.41
Albania,18.83,99.80,12.41
Albania,18.83,99.30,12.41
Albania,18.83,99.80,12.41
Albania,18.83,100.00,12.41
Albania,18.83,100.00,12.41
Albania,18.83,100.00,12.41
Albania,18.83,99.10,12.53
Albania,18.83,98.00,12.53
