country,maternal_mortality_rate
Zimbabwe,684.83
Timor-Leste,684.82
Djibouti,684.72
Haiti,683.86
Mali,683.84
Ethiopia,683.81
Liberia,683.76
Mauritania,683.64
Cameroon,683.40
Haiti,683.09
Mauritania,681.83
Afghanistan,681.81
Malawi,681.52
Benin,681.50
Nepal,680.81
Togo,680.02
Cambodia,679.49
Haiti,679.16
Guinea,679.14
Djibouti,678.96
Mauritania,678.28
Laos,678.24
Eswatini,678.00
Cameroon,677.92
Cameroon,676.77
Guinea,676.69
Angola,676.50
Mauritania,676.50
Liberia,676.47
Burundi,676.16
Haiti,673.84
Morocco,673.74
Mauritania,673.45
Mauritania,673.36
Guinea-Bissau,673.20
Niger,672.56
Tanzania,672.20
Eswatini,671.51
Cameroon,671.47
Mauritania,671.18
Uganda,671.14
Zimbabwe,669.89
Madagascar,669.41
Mauritania,668.29
Liberia,667.96
Lesotho,667.92
"DR Congo",667.74
Gambia,667.18
Djibouti,667.07
Laos,666.88
"Sierra Leone",666.86
Ghana,665.45
Liberia,664.50
Eswatini,663.55
Afghanistan,663.43
Liberia,662.80
Eswatini,662.76
Cameroon,662.67
Mauritania,662.32
"DR Congo",662.23
Liberia,661.13
"DR Congo",660.85
Guinea,660.71
Eswatini,660.24
Cambodia,658.91
Cameroon,658.62
Madagascar,658.54
Mauritania,658.34
Madagascar,658.11
Mauritania,657.05
"Burkina Faso",656.42
Zimbabwe,656.42
Comoros,656.21
Cambodia,656.07
"DR Congo",654.55
Senegal,654.44
Mauritania,654.29
Eritrea,654.13
Djibouti,653.79
Ghana,653.71
Liberia,652.34
Benin,652.19
Mauritania,652.12
Madagascar,652.10
Madagascar,652.03
Djibouti,651.30
Cameroon,650.73
Malawi,650.07
Timor-Leste,649.72
Guinea,649.12
Ghana,648.66
Guinea-Bissau,648.24
Cambodia,647.83
Gambia,647.07
India,646.88
Comoros,646.41
Laos,645.87
Madagascar,645.52
Madagascar,645.31
Cambodia,645.18
Niger,644.33
Afghanistan,644.27
Liberia,643.57
Eswatini,643.55
Liberia,643.54
"DR Congo",643.33
Eritrea,642.79
Cambodia,642.52
Sudan,642.18
Laos,640.69
Lesotho,639.74
Mozambique,638.94
Senegal,638.37
Liberia,638.02
Mauritania,637.74
Cambodia,637.31
"Burkina Faso",636.95
Madagascar,636.61
Sudan,636.00
Comoros,635.89
"DR Congo",634.83
Ethiopia,634.71
Mauritania,634.39
Cambodia,634.32
Liberia,634.18
Djibouti,634.08
Haiti,633.88
Benin,633.79
Uganda,633.02
Togo,632.42
Liberia,632.34
"Sierra Leone",632.13
Lesotho,632.06
Liberia,631.62
Haiti,630.94
Burundi,630.02
Djibouti,629.94
Djibouti,629.64
Cameroon,629.25
Lesotho,628.86
"DR Congo",628.51
Senegal,628.30
Nepal,628.12
